SiteID;Longitude;Latitude
200166;580342;4344569
200167;608313;4336043
200171;526219;4348749
200199;598100;4315582
200200;525033;4302854
200201;584142;4256157
200202;586374;4245022
200206;599263;4316779
200209;561520;4222275
200212;599323;4316493
200217;665525;4303695
200219;556803;4245958
200220;626815;4341104
200221;535207;4347321
200223;613098;4265487
200224;665285;4303592
200225;539557;4311907
200226;609531;4340400
200232;598988;4317253
200235;598886;4316934
200237;587193;4305929
200238;599650;4315652
200251;553265;4295719
200255;561967;4238984
200256;601939;4334846
200263;599800;4315859
200264;618799;4253921
200265;599259;4316530
200266;598174;4316448
200267;563540;4305074
200269;565748;4291360
200270;570412;4241844
200271;551258;4281154
200273;609856;4258227
200281;623800;4275431
200293;620091;4335589
200294;638490;4293893
200295;624099;4335883
200302;556766;4259941
200304;645937;4355170
200305;566069;4263408
200316;572462;4280268
200319;540770;4283336
200324;579065;4291115
200332;551131;4259522
200335;586197;4252321
200336;584819;4294816
200354;544551;4278213
200362;599269;4315920
200363;513486;4309965
200366;565232;4308411
200371;598699;4316075
200374;597573;4317173
200375;556702;4246047
200376;604268;4318197
200379;633295;4300055
200380;597114;4316337
200381;598104;4315944
200382;598810;4315982
200383;598581;4317086
200388;614079;4263034
200389;600885;4323791
200395;565014;4236807
200396;537525;4349580
200405;664741;4304356
200406;533554;4347228
200409;584864;4301558
200410;607761;4324360
200411;640042;4339676
200413;548127;4261815
200414;576647;4267367
200415;655708;4347893
200417;596914;4318278
200418;566254;4289415
200420;584204;4255035
200422;575303;4313110
200423;622442;4335031
200425;562387;4259916
200426;557671;4264445
200429;561025;4233742
200431;554496;4282295
200432;626611;4290809
200433;596832;4242268
200436;650271;4343142
200449;542720;4215670
200453;597561;4316624
200458;598939;4317400
200459;608425;4260968
200460;598613;4316878
200461;573355;4338699
200466;598313;4317145
200469;597196;4319933
200470;652614;4313988
200473;572782;4339711
200479;562516;4240647
200480;563469;4250113
200482;556520;4238047
200484;556774;4251697
200487;598841;4316548
200490;597927;4318161
200492;607989;4310725
200493;602300;4318400
200494;599240;4315517
200501;541475;4253491
200509;572863;4291601
200512;610963;4308428
200518;599825;4320760
200520;596175;4290532
200533;631969;4349651
200537;614644;4273558
200550;597990;4315877
200555;569072;4323109
200556;596664;4318945
200565;584511;4350547
200566;585678;4346709
200567;586918;4342885
200568;587331;4340551
200569;587431;4337397
200570;587384;4336529
200571;587926;4332562
200572;589299;4329957
200573;591987;4326581
200574;594583;4323367
200575;599403;4316524
